Stock,Trend,Proba,CV,Entry,Target,Stop,ATR,Score
SPENCERS,Bearish,0.17617945703809218,0.493431855500821,45.17,40.86,47.67,1.8,0.1404806967778285
KCPSUGIND,Bearish,0.17345222958605755,0.5246305418719213,26.93,24.36,28.42,0.87,0.14047067263028504
ACI,Bearish,0.18224512045706862,0.4088669950738916,509.69,461.02,537.86,17.68,0.1391526781815056
ENERGYDEV,Bearish,0.16170358174989052,0.6354679802955665,22.09,19.98,23.31,2.0,0.1381251284503991
CAPACITE,Bearish,0.16153429338543152,0.6276683087027916,276.56,250.16,291.85,9.55,0.13747655872195264
RISHABH,Bearish,0.16539431301849347,0.5701970443349754,415.91,376.2,438.9,19.39,0.13695952718427956
RISHABH,Bearish,0.16539431301849347,0.5701970443349754,415.91,376.2,438.9,19.39,0.13695952718427956
GLOBALE,Bearish,0.16369307237926758,0.5882594417077176,12.11,10.95,12.78,0.84,0.13673344157526013
BAFNAPH,Bearish,0.16069923343055426,0.6157635467980296,150.5,136.13,158.82,4.7,0.13600063203630158
MANAPPURAM,Bearish,0.17262024974663734,0.4667487684729064,283.67,256.59,299.36,6.62,0.1358002654410738
GENUSPAPER,Bearish,0.17154619111972283,0.4774220032840722,14.14,12.79,14.92,0.59,0.13568768515988586
OILCOUNTUB,Bearish,0.1700164760383928,0.4946633825944171,63.63,57.56,67.15,2.56,0.1356502556766093
RELCHEMQ,Bearish,0.16408722289043687,0.5648604269293924,144.31,130.54,152.29,6.19,0.13552688524448234
TRIGYN,Bearish,0.17267553087000026,0.4597701149425288,69.65,63.0,73.5,2.82,0.13536173799234502
LXCHEM,Bearish,0.16626535188845676,0.5287356321839081,179.87,162.69,189.81,4.3,0.1349233775094833
MSTCLTD,Bearish,0.17040553512670126,0.46633825944170776,492.82,445.77,520.06,13.23,0.13402996933610822
REDINGTON,Bearish,0.17753192573392668,0.3850574712643678,277.26,250.78,292.58,9.69,0.13386315319707576
SWSOLAR,Bearish,0.16273528948098076,0.5476190476190476,225.31,203.8,237.76,6.82,0.13328795138442234
WHIRLPOOL,Bearish,0.15778734939340872,0.6091954022988505,1058.48,957.42,1116.99,41.04,0.1331217407526
EQUITASBNK,Bearish,0.16649869335222173,0.48973727422003277,64.74,58.56,68.32,1.84,0.1325154625087387
5PAISA,Bearish,0.16786318976289344,0.4720853858784893,334.82,302.85,353.32,14.45,0.13241621734333991
ROUTE,Bearish,0.16685910806641435,0.479064039408867,658.59,595.71,695.0,19.23,0.13208994416883146
CESC,Bearish,0.16418202520356284,0.5057471264367815,169.99,153.76,179.38,3.95,0.13172305010584698
HEIDELBERG,Bearish,0.17290941571806612,0.40229885057471265,183.87,166.31,194.03,3.25,0.13157015310960893
EVEREADY,Bearish,0.15378528376134495,0.6358784893267652,334.82,302.85,353.32,12.13,0.13138667182434774
HFCL,Bearish,0.1681362133477377,0.4482758620689655,71.08,64.3,75.01,1.84,0.13103029040203007
INDOWIND,Bearish,0.1657904829838186,0.47126436781609193,16.31,14.75,17.21,0.95,0.1307267486516087
PDSL,Bearish,0.16432694575735335,0.4766009852216748,351.33,317.79,370.76,17.78,0.12992352115298134
PAGEIND,Bearish,0.16295000353732228,0.48316912972085385,38193.07,34546.5,40304.25,778.37,0.1292629666812486
ACC,Bearish,0.15575051327881875,0.5747126436781609,1860.85,1683.18,1963.71,34.78,0.12925502366357142
HATHWAY,Bearish,0.16160581183663164,0.4954844006568144,12.95,11.72,13.67,0.28,0.12899275063019153
INDOTHAI,Bearish,0.1506465014615131,0.6239737274220033,422.88,382.5,446.25,20.97,0.1279876844929177
ORIENTALTL,Bearish,0.17268674507015846,0.34236453201970446,8.59,7.77,9.06,0.43,0.12726077370687539
SREEL,Bearish,0.156271906777544,0.5283251231527094,227.86,206.1,240.45,6.98,0.12678809382394826
GEOJITFSL,Bearish,0.15846938406590083,0.49220032840722494,69.8,63.14,73.66,2.11,0.1262811035914313
BHARATWIRE,Bearish,0.15134794977805,0.577175697865353,178.13,161.13,187.98,7.51,0.12575051328028455
KANORICHEM,Bearish,0.1469154322597537,0.6354679802955665,74.62,67.5,78.75,2.65,0.12549328056079453
SHREECEM,Bearish,0.16232566985919417,0.41789819376026277,26621.22,24079.5,28092.75,368.66,0.12452964360954928
APEX,Bearish,0.15388532835951665,0.5229885057471265,296.17,267.89,312.54,17.13,0.1245233001897698
MCLOUD,Bearish,0.15487318569677272,0.49917898193760263,29.78,26.94,31.43,5.95,0.12384768708428295
WELINV,Bearish,0.15115825911758904,0.5414614121510674,1191.31,1077.57,1257.17,81.42,0.1234335012465961
VIKASECO,Bearish,0.1485668247804996,0.569376026272578,1.59,1.44,1.68,0.07,0.12297625020008185
CMICABLES,Bearish,0.12885117419653194,0.8825944170771757,4.48,4.05,4.73,0.04,0.12280003530979826
TEXINFRA,Bearish,0.14566339638390707,0.6042692939244664,101.61,91.91,107.23,2.81,0.12260600490376153
MCLEODRUSS,Bearish,0.1492299839635793,0.5537766830870279,51.94,46.98,54.81,1.4,0.12259402459274012
SAREGAMA,Bearish,0.15302358230466107,0.4995894909688013,396.01,358.2,417.9,12.96,0.12239373881871987
SAPPHIRE,Bearish,0.14346681526389843,0.6223316912972086,247.21,223.6,260.87,9.04,0.12179366747362148
HILTON,Bearish,0.14419321579049987,0.6055008210180625,41.58,37.61,43.88,2.01,0.12143957369285285
DICIND,Bearish,0.1452687903551551,0.5870279146141216,520.93,471.19,549.73,23.94,0.12127200823737415
RAIN,Bearish,0.1527371836663055,0.4827586206896552,107.06,96.84,112.98,3.69,0.12113638704569057
20MICRONS,Bearish,0.14664939852435166,0.5476190476190476,192.0,173.66,202.61,5.92,0.12011284069613565
PLAZACABLE,Bearish,0.14815748409836652,0.5250410509031199,40.9,37.0,43.17,2.07,0.12000999491908737
ARVIND,Bearish,0.15031607911930556,0.4942528735632184,354.17,320.36,373.75,10.59,0.11990730909057248
GHCLTEXTIL,Bearish,0.15040865220325375,0.48891625615763545,76.02,68.76,80.22,2.3,0.11966008537352453
TATACHEM,Bearish,0.14808214993308144,0.513136288998358,800.98,724.5,845.25,16.68,0.1192438199132728
BLUEDART,Bearish,0.14234244068852028,0.5874384236453202,5719.26,5173.2,6035.4,154.01,0.11885243200346891
ORICONENT,Bearish,0.149201343178559,0.48932676518883417,58.29,52.72,61.51,2.36,0.11872409015489274
TTML,Bearish,0.1458788023216877,0.532840722495895,51.35,46.45,54.19,1.34,0.1186193479633822
PASUPTAC,Bearish,0.14770543025631683,0.4995894909688013,61.26,55.41,64.65,3.46,0.11814009043982253
KEC,Bearish,0.13880696463568415,0.5706075533661741,689.04,623.25,727.12,22.79,0.11496589977379161
WELCORP,Bearish,0.1351686479784637,0.6157635467980296,856.89,775.08,904.26,24.43,0.11439395922512346
ARIHANTSUP,Bearish,0.14664689368757183,0.4334975369458128,346.16,313.11,365.29,11.66,0.11341656309826983
JAIBALAJI,Bearish,0.143823218412038,0.4236453201970443,67.78,61.31,71.53,3.48,0.1106659444135977
MRF,Bearish,0.13269737211492186,0.5402298850574713,152981.25,138375.0,161437.5,2505.67,0.1082932577029822
HEG,Bearish,0.13122471293816423,0.5250410509031199,529.34,478.8,558.6,19.61,0.10629417223710413
NACLIND,Bearish,0.12303380606741968,0.6514778325123153,187.75,169.82,198.12,8.18,0.10588180256146905
SHANKARA,Bearish,0.13873882262334597,0.3883415435139573,117.49,106.27,123.98,9.33,0.1047945129831513
AEGISLOG,Bearish,0.12852366281884015,0.5361247947454845,756.9,684.63,798.74,18.75,0.1046760866307795
TARIL,Bearish,0.13733845329283678,0.39901477832512317,270.14,244.35,285.08,18.94,0.1043231009741647
ITIETF,Bearish,0.1260054434055837,0.5644499178981938,40.9,37.0,43.17,0.71,0.1040527709173531
GAYAHWS,Bearish,0.12343330035821086,0.5915435139573071,3.19,2.89,3.37,0.24,0.10326644750822403
CROMPTON,Bearish,0.12496670881370461,0.513136288998358,264.62,239.36,279.25,5.3,0.10063000657182387
SHIVATEX,Bearish,0.11841554673193005,0.6157635467980296,187.53,169.62,197.89,6.34,0.10021571885983047
PNCINFRA,Bearish,0.12061946619274302,0.5763546798029556,248.1,224.42,261.82,6.92,0.10017951724185455
FIRSTCRY,Bearish,0.13005647980950183,0.41050903119868637,304.27,275.22,321.09,9.78,0.09938963169678514
MANOMAY,Bearish,0.1290407238006032,0.4109195402298851,251.81,227.77,265.73,11.27,0.0986345762383921
POLYMED,Bearish,0.12418515483748374,0.46633825944170776,1925.52,1741.68,2031.96,61.18,0.0976760084846547
SOMATEX,Bearish,0.11919157810076608,0.5414614121510674,122.4,110.72,129.17,4.88,0.09733000293844167
KAVDEFENCE,Bearish,0.11519399766155117,0.5903880070546738,87.91,79.51,92.77,3.95,0.09632006047855628
LYKALABS,Bearish,0.11629034381965542,0.5697865353037767,80.33,72.66,84.77,3.6,0.09627847512950782
