Stock,Trend,Proba,CV,Entry,Target,Stop,ATR,Score
MOTOGENFIN,Bullish,0.9467745554541155,0.6929392446633825,27.01,29.57,25.54,1.28,0.8304876314016231
FLEXITUFF,Bullish,0.9480866556296055,0.6481937602627258,16.76,18.35,15.85,1.03,0.8146695351247496
BYKE,Bullish,0.9533033475938832,0.6231527093596059,59.02,64.6,55.79,3.96,0.8096034341142141
GVKPIL,Bullish,0.954120728193974,0.6030377668308703,3.39,3.71,3.2,0.08,0.8026207702032395
FEL,Bullish,0.9560834783362473,0.5747126436781609,0.45,0.49,0.43,0.01,0.7934393923664029
MANUFGBEES,Bullish,0.9165060361393436,0.6555555555555554,154.09,168.65,145.65,2.32,0.7902318711601451
GENSOL,Bullish,0.8640017588472206,0.7417898193760263,30.1,32.95,28.45,1.51,0.7747641387626718
BANKA,Bullish,0.9395229496360229,0.557471264367816,76.07,83.26,71.91,3.51,0.7732165884360832
RANASUG,Bullish,0.9254021453121729,0.5886699507389163,13.39,14.65,12.65,0.38,0.7731438613051455
LOKESHMACH,Bullish,0.90289706566773,0.6165845648604269,155.59,170.3,147.08,8.71,0.7644231971400355
WANBURY,Bullish,0.9321799372059274,0.534072249589491,256.53,280.78,242.49,12.64,0.7584485367578604
ARSHIYA,Bullish,0.8999375919722649,0.6026272577996716,1.39,1.52,1.31,0.08,0.7568933244797932
CURAA,Bullish,0.8690295145164104,0.6736453201970444,126.48,138.43,119.56,9.71,0.755584774936682
PIONEEREMB,Bullish,0.8985840658216739,0.5878489326765188,29.2,31.95,27.6,1.57,0.7504431130983634
MANORG,Bullish,0.9225986135313489,0.5299671592775042,491.29,537.74,464.41,22.17,0.7491379546654385
AXITA,Bullish,0.8381487737345747,0.7192118226600984,9.81,10.74,9.27,0.28,0.7440118671279328
RSSOFTWARE,Bullish,0.8638598411192844,0.6506568144499179,50.52,55.3,47.76,3.05,0.7431464216131248
PALASHSECU,Bullish,0.8986745266211237,0.564039408866995,114.22,125.02,107.97,4.49,0.7419598554763562
MPSLTD,Bullish,0.87531189615247,0.6120689655172414,2136.53,2338.49,2019.6,82.01,0.739487636404673
TOKYOPLAST,Bullish,0.8802168586045379,0.5853858784893268,122.46,134.03,115.76,4.43,0.7342367227768559
UMAEXPORTS,Bullish,0.8841135939179925,0.5743021346469622,40.63,44.47,38.41,1.88,0.7335674860537957
SPECTRUM,Bullish,0.9132403355605497,0.5053366174055829,1328.61,1454.2,1255.9,89.29,0.7325417141565329
MASPTOP50,Bullish,0.8728486438103373,0.5952380952380952,71.38,78.12,67.47,1.33,0.7315302919553304
INDIANB,Bullish,0.8986310561236637,0.5348932676518884,875.86,958.65,827.92,18.91,0.7314473144835798
INNOVATIVE,Bullish,0.8823408412919915,0.5545977011494253,127.58,139.64,120.6,2.06,0.7251421856595103
TVSSCS,Bullish,0.8950343633059812,0.5180623973727422,109.28,119.61,103.3,3.43,0.7224940771777016
SBFC,Bullish,0.8640318150921205,0.5878489326765188,108.42,118.67,102.49,3.0,0.7215871611754555
MAGNUM,Bullish,0.8635124337909793,0.5878489326765189,24.99,27.36,23.63,1.37,0.7211534052973597
VENKEYS,Bullish,0.8710598228149181,0.5689655172413793,1347.6,1474.99,1273.86,30.53,0.7208770947433805
HEADSUP,Bullish,0.9022544265342216,0.4811165845648604,9.63,10.54,9.1,0.73,0.7149884831616016
AUTOAXLES,Bullish,0.8511882958968857,0.5911330049261084,1711.41,1873.19,1617.76,36.69,0.7119791755827153
UNIVPHOTO,Bullish,0.8818007584454697,0.5164203612479474,269.34,294.8,254.6,15.59,0.7112324015573313
TBZ,Bullish,0.8987742131681287,0.4761904761904762,175.67,192.28,166.06,5.53,0.7104596161233778
RADICO,Bullish,0.8164974234448381,0.6621510673234812,3239.01,3545.19,3061.75,99.25,0.7061563102272517
ROSSELLIND,Bullish,0.8418226512815237,0.5911330049261084,58.49,64.02,55.29,2.82,0.7041452521556785
TAKE,Bullish,0.869063027696553,0.5246305418719212,31.13,34.08,29.43,1.1,0.7038126194744498
AGRITECH,Bullish,0.8816161442539208,0.4827586206896552,141.91,155.32,134.14,7.09,0.6992128040634544
NGLFINE,Bullish,0.8444639911512419,0.5648604269293925,1346.5,1473.78,1272.81,57.05,0.6974801109180209
PRECWIRE,Bullish,0.8655948754892266,0.5110837438423647,259.08,283.57,244.9,11.47,0.6963135131398557
CORDSCABLE,Bullish,0.8614552299329896,0.5180623973727422,207.39,227.0,196.04,9.56,0.6953881626191424
SSDL,Bullish,0.8345938596142761,0.5763546798029556,81.97,89.72,77.48,2.11,0.6931651464579652
BASML,Bullish,0.8276689007772249,0.5882594417077175,31.1,34.05,29.4,1.48,0.6913549586623551
INDIASHLTR,Bullish,0.7821466251883729,0.7097701149425287,881.08,964.37,832.87,25.19,0.6913456951377687
VMM,Bullish,0.8490514716620298,0.535303776683087,137.63,150.64,130.1,3.92,0.6912310667488248
KSCL,Bullish,0.8564388047231074,0.5119047619047619,991.83,1085.59,937.56,38.22,0.6892293238009769
SURANASOL,Bullish,0.8109725621802983,0.6235632183908046,29.41,32.19,27.8,0.91,0.6888606016680925
RKDL,Bullish,0.7791139296996307,0.7093596059113301,25.65,28.07,24.24,1.03,0.6885371378724815
DBL,Bullish,0.853910280277024,0.5119047619047619,475.16,520.08,449.16,16.48,0.6871944636515098
ZODIACLOTH,Bullish,0.8453058166043177,0.5303776683087028,91.15,99.77,86.16,3.75,0.6865160211699434
CENTRUM,Bullish,0.832160326988848,0.5591133004926108,29.14,31.9,27.55,1.53,0.6854049589780068
NATIONALUM,Bullish,0.8396704331457734,0.5361247947454845,263.78,288.72,249.35,6.26,0.6838695153371159
SONATSOFTW,Bullish,0.8353847986782802,0.5459770114942528,359.24,393.2,339.58,10.05,0.6836712375390063
GIRIRAJ,Bullish,0.8518462524153089,0.5,113.97,124.74,107.73,9.51,0.6814770019322471
SHRIRAMFIN,Bullish,0.8809601199166003,0.4322660098522168,872.09,954.53,824.36,17.13,0.6808997183000719
MANCREDIT,Bullish,0.8274921053875373,0.5529556650246307,171.52,187.74,162.14,5.89,0.6795218422074013
WEIZMANIND,Bullish,0.8023247954539007,0.6128899835796388,106.53,116.6,100.7,3.82,0.6780896095568517
HEXATRADEX,Bullish,0.7913423162508348,0.639983579638752,169.74,185.79,160.45,4.07,0.677383825060033
PSUBANK,Bullish,0.826869591357926,0.5476190476190476,857.25,938.29,810.34,17.0,0.677245570064587
SUPERSPIN,Bullish,0.8474458579191587,0.4930213464696223,9.14,10.0,8.64,0.4,0.6755910739240584
WILLAMAGOR,Bullish,0.744137061099001,0.7684729064039408,32.96,36.08,31.16,1.69,0.6752219047016551
MAHKTECH,Bullish,0.8737686123357904,0.4285714285714286,26.03,28.49,24.6,0.55,0.674050072373324
SAURASHCEM,Bullish,0.818349109899657,0.5587027914614121,94.46,103.39,89.29,3.04,0.6738950387761543
SENORES,Bullish,0.8219309494370738,0.5463875205254515,813.65,890.56,769.12,28.2,0.6727956950646654
SHRIPISTON,Bullish,0.8094396167839648,0.5775862068965517,2621.24,2869.02,2477.79,65.12,0.6726722332583983
AKI,Bullish,0.8467638833204771,0.4811165845648604,7.52,8.23,7.11,0.41,0.6710151889826966
JUNIORBEES,Bullish,0.7971810927763483,0.5952380952380952,747.82,818.51,706.89,15.42,0.6681136777554157
ALLTIME,Bullish,0.817271015773531,0.5384615384615384,277.58,303.82,262.39,8.45,0.6663902128614945
TTKHLTCARE,Bullish,0.7823701929070845,0.6235632183908045,1116.55,1222.1,1055.45,29.76,0.6645650259291213
BLAL,Bullish,0.8499007742229097,0.4540229885057471,207.03,226.6,195.7,4.55,0.6642902603121592
ROHLTD,Bullish,0.8187639396127059,0.5242200328407225,424.41,464.53,401.18,15.36,0.6629433474926524
DAVANGERE,Bullish,0.8317904257293491,0.48932676518883417,4.05,4.43,3.83,0.17,0.6618811827724838
MOM100,Bullish,0.8626911962122856,0.4166666666666667,66.16,72.41,62.54,0.96,0.6613965837627522
GESHIP,Bullish,0.7849033701849957,0.6050903119868637,1103.39,1207.69,1043.01,30.42,0.6609169921689093
LINCOLN,Bullish,0.8186632593195229,0.5180623973727422,519.84,568.98,491.39,11.6,0.6608454158973357
SMLISUZU,Bullish,0.8326637911724311,0.48234811165845654,3045.85,3333.77,2879.16,124.04,0.660251797630816
MEGASOFT,Bullish,0.7849135154317043,0.5940065681444991,206.01,225.49,194.74,11.06,0.657445622695751
INDSWFTLAB,Bullish,0.8091429564405825,0.5303776683087028,97.99,107.25,92.62,4.05,0.6571463156904961
NAVKARURB,Bullish,0.8221749396297637,0.4930213464696223,1.78,1.95,1.68,0.13,0.6554448820857969
BHARATFORG,Bullish,0.7872891540950501,0.5800492610837439,1441.57,1577.84,1362.68,29.04,0.6550400892938619
CHEVIOT,Bullish,0.8251863475680178,0.48316912972085385,1086.61,1189.32,1027.14,22.39,0.6545936363055983
NATCAPSUQ,Bullish,0.7620634029416522,0.6469622331691297,178.89,195.8,169.1,8.78,0.6544485381584303
ASIANHOTNR,Bullish,0.7621190197214005,0.646551724137931,329.54,360.69,311.5,13.52,0.6543711583125129
MAFANG,Bullish,0.7942525733268249,0.5595238095238094,174.46,190.95,164.91,2.67,0.6543128342168605
MAL,Bullish,0.7716339337604186,0.6190476190476191,51.31,56.15,48.5,2.15,0.6540516200445452
DGCONTENT,Bullish,0.7611957178611702,0.646551724137931,35.58,38.94,33.63,2.54,0.6535783922325221
OMAXE,Bullish,0.7852126948248286,0.5767651888341544,70.95,77.66,67.07,2.74,0.6522809561771441
AHLUCONT,Bullish,0.7747820055637833,0.6001642036124795,1003.14,1097.97,948.24,36.46,0.650867773475257
TIMETECHNO,Bullish,0.8081351710597879,0.5114942528735632,200.98,219.98,189.98,6.73,0.650223700852703
GUJRAFFIA,Bullish,0.8148576475285096,0.4946633825944171,63.89,69.93,60.39,3.26,0.6501466846208586
SHALBY,Bullish,0.7630322678358117,0.6293103448275862,212.56,232.65,200.92,7.93,0.649893000536019
ALBERTDAVD,Bullish,0.7798030992579206,0.5821018062397373,799.48,875.05,755.72,20.29,0.6494517765905046
DELHIVERY,Bullish,0.7693905344559928,0.604679802955665,427.63,468.05,404.22,11.78,0.6477282873819171
KROSS,Bullish,0.7773971425437589,0.5816912972085385,164.29,179.82,155.3,5.95,0.6473203464432514
ACE,Bullish,0.7861819905005423,0.5578817733990147,991.63,1085.37,937.37,20.64,0.6471478355302492
ZEELEARN,Bullish,0.7747835996893389,0.5878489326765189,7.46,8.16,7.05,0.4,0.647052444666663
STARPAPER,Bullish,0.8051107434715831,0.5069786535303776,166.93,182.71,157.8,3.91,0.6463360303501756
ARCHIDPLY,Bullish,0.800270279643761,0.5172413793103449,92.27,100.99,87.22,3.52,0.6457353290918624
NUCLEUS,Bullish,0.7684777234853111,0.5997536945812808,937.26,1025.86,885.97,24.81,0.6454455756366776
RPSGVENT,Bullish,0.7417619377586,0.6744663382594417,801.29,877.03,757.43,19.77,0.6451745458632683
KSOLVES,Bullish,0.8177708948998801,0.47167487684729065,308.43,337.59,291.55,8.4,0.6449513313964078
NORBTEAEXP,Bullish,0.8091545951219201,0.49261083743842365,73.16,80.08,69.16,1.48,0.6449320861612151
ATAM,Bullish,0.7549824897907851,0.6354679802955666,85.42,93.5,80.75,3.82,0.6448963730528184
CREATIVEYE,Bullish,0.7799479651890172,0.5640394088669951,7.11,7.78,6.72,0.54,0.6439373348063019
KALYANIFRG,Bullish,0.7999635131604939,0.5110837438423647,656.67,718.74,620.73,37.07,0.6435174467936386
HIRECT,Bullish,0.7639155255767304,0.6059113300492611,1542.27,1688.06,1457.87,59.2,0.643495344205029
MANAKALUCO,Bullish,0.7824946337617589,0.5529556650246304,25.5,27.91,24.1,1.17,0.6425707164930305
ANUP,Bullish,0.817661546408218,0.46428571428571425,2297.93,2515.15,2172.17,60.34,0.6424483578921713
BHARTIHEXA,Bullish,0.7960111991610137,0.5164203612479474,1784.78,1953.49,1687.11,53.13,0.6420372759078653
RELIABLE,Bullish,0.7840756595120832,0.5467980295566502,153.74,168.28,145.33,7.99,0.6419378059650651
IGL,Bullish,0.8260516334543397,0.44129720853858784,203.86,223.14,192.71,5.66,0.6414446920534601
MAANALU,Bullish,0.8232484131490816,0.4470443349753695,158.16,173.11,149.5,7.58,0.6411604636397527
PREMIERPOL,Bullish,0.8015132155973421,0.4991789819376027,47.22,51.69,44.64,2.86,0.6409473497469714
KEI,Bullish,0.809167218655608,0.4774220032840722,4218.99,4617.8,3988.1,82.11,0.6400260250023093
LOVABLE,Bullish,0.7950879995468794,0.5123152709359605,86.41,94.58,81.68,3.56,0.6399870892904437
SUNDARAM,Bullish,0.7320526680352404,0.6839080459770114,1.86,2.04,1.76,0.09,0.6394942847204398
NAZARA,Bullish,0.7852466993339573,0.5357142857142857,256.83,281.11,242.77,8.53,0.639415169457651
MORARJEE,Bullish,0.7968906068131073,0.5053366174055829,7.29,7.98,6.89,0.52,0.6392135655635516
DLF,Bullish,0.7943950544886387,0.5110837438423647,729.38,798.32,689.46,13.01,0.6390379921083482
ISFT,Bullish,0.8073510742207339,0.4778325123152709,91.96,100.65,86.92,3.35,0.6387220813785708
SECMARK,Bullish,0.7772170701096082,0.5533661740558292,119.79,131.11,113.23,9.51,0.6383644966647389
DHARMAJ,Bullish,0.8143769062120345,0.4585385878489327,244.27,267.36,230.9,11.51,0.6379954383477202
AKSHARCHEM,Bullish,0.772706989814665,0.5640394088669951,269.39,294.85,254.65,11.88,0.6379590713937825
XELPMOC,Bullish,0.7546130161227771,0.6116584564860427,120.71,132.12,114.1,8.34,0.6373939827480403
DELPHIFX,Bullish,0.7824547072426576,0.535303776683087,237.7,260.17,224.69,10.67,0.6370132082937761
MIDQ50ADD,Bullish,0.7695502908394269,0.5640394088669951,251.26,275.01,237.51,2.74,0.6353528509590539
GALLANTT,Bullish,0.7850961322222736,0.5229885057471265,598.13,654.67,565.39,31.79,0.6352961805568742
DIVGIITTS,Bullish,0.7732505903510796,0.5533661740558292,591.14,647.02,558.79,21.4,0.635106642518243
RAJSREESUG,Bullish,0.7560438752803949,0.5997536945812808,37.79,41.36,35.72,1.46,0.6350023681542233
VLSFINANCE,Bullish,0.785240601015081,0.5213464696223317,307.53,336.6,290.7,12.09,0.6348973266663807
BANKNIFTY1,Bullish,0.7516748789272933,0.6112479474548439,621.3,680.03,587.3,6.44,0.6347888181154466
RELIGARE,Bullish,0.7665248311676534,0.5701970443349754,248.64,272.14,235.03,6.14,0.6347429759570568
MUTHOOTFIN,Bullish,0.7878941191489521,0.5119047619047619,3780.51,4137.87,3573.61,73.87,0.6340671720770139
ASHAPURMIN,Bullish,0.8060267922879164,0.46592775041050905,700.33,766.53,662.01,29.57,0.6338361754132729
MARALOVER,Bullish,0.813107687504028,0.44540229885057464,48.73,53.34,46.07,2.46,0.6327286257933642
PFIZER,Bullish,0.7553027597568769,0.5931855500821018,5049.12,5526.4,4772.8,97.82,0.6323955290640911
ANDHRAPAP,Bullish,0.7552981477368892,0.5927750410509031,69.32,75.88,65.53,1.67,0.6322676448542958
GPPL,Bullish,0.779978733466911,0.5225779967159278,179.58,196.56,169.76,4.88,0.6310271296866126
BANKIETF,Bullish,0.8002707243623941,0.47044334975369456,61.53,67.34,58.16,0.86,0.6307552507289805
SENSEXIETF,Bullish,0.7591911574919512,0.5755336617405583,986.34,1079.57,932.36,11.41,0.630290721228129
GSLSU,Bullish,0.7628572639238672,0.5640394088669951,130.02,142.31,122.9,7.51,0.6298269824317249
MUNJALSHOW,Bullish,0.7626271571695901,0.5644499178981938,126.04,137.95,119.14,3.62,0.6297622288022773
SHIVAMAUTO,Bullish,0.7581514556409072,0.575944170771757,28.71,31.43,27.14,1.03,0.6295520379599454
SUNCLAY,Bullish,0.8129038815132501,0.4355500821018063,1295.55,1418.01,1224.64,56.26,0.6293664698415393
3PLAND,Bullish,0.8119211155164507,0.437192118226601,40.54,44.37,38.32,2.24,0.6291388742400872
XPROINDIA,Bullish,0.7979378655830222,0.47044334975369456,1037.26,1135.31,980.49,30.48,0.6289165443018894
EMMBI,Bullish,0.7573123416164687,0.5755336617405583,103.91,113.73,98.22,4.41,0.6287309029906184
BOROSCI,Bullish,0.7629873216207894,0.5595238095238095,127.64,139.7,120.65,5.51,0.6285562220971265
MHLXMIRU,Bullish,0.7509992113586933,0.5878489326765188,218.19,238.81,206.25,10.47,0.627189160750462
NTPCGREEN,Bullish,0.729007338409489,0.6506568144499179,95.54,104.57,90.31,1.42,0.6271378400537458
KUANTUM,Bullish,0.7812388032690931,0.5061576354679803,98.84,108.18,93.43,3.07,0.6269152761208634
VALIANTLAB,Bullish,0.7804501524947376,0.5053366174055829,68.6,75.09,64.85,3.36,0.6260261075429874
FIEMIND,Bullish,0.8010930192809032,0.4519704433497537,2276.63,2491.83,2152.04,70.46,0.6254839584040549
DOLPHIN,Bullish,0.7700764145165406,0.5287356321839081,352.75,386.1,333.45,19.3,0.6249125846536525
DHRUV,Bullish,0.7359132855862178,0.6227422003284072,49.0,53.64,46.32,2.38,0.6248616748384782
JAICORPLTD,Bullish,0.7500691336540362,0.5825123152709359,144.44,158.09,136.53,5.13,0.6248112832556528
VERANDA,Bullish,0.7996328443986782,0.4532019704433498,218.17,238.79,206.23,9.01,0.6247377789242875
DCMNVL,Bullish,0.7651376901354121,0.5406403940886699,139.19,152.35,131.57,7.14,0.6245483510120088
INDIACEM,Bullish,0.7330672131221914,0.6239737274220033,400.79,438.68,378.86,11.47,0.6228062004424003
DIACABS,Bullish,0.7741871985596577,0.5106732348111659,145.06,158.77,137.12,5.73,0.6226549915509365
BANARISUG,Bullish,0.732688131052443,0.6174055829228243,3663.12,4009.39,3462.65,59.58,0.6205591756926931
NIFTYQLITY,Bullish,0.7527312631140686,0.5595238095238094,22.29,24.4,21.07,0.32,0.6201071834225421
SHRIRAMPPS,Bullish,0.7449387086287236,0.5808702791461412,90.15,98.67,85.21,2.92,0.6200483274284072
GMRAIRPORT,Bullish,0.7662394853470198,0.5225779967159278,109.41,119.76,103.43,2.34,0.6199116493111275
METROPOLIS,Bullish,0.7853080387127174,0.47126436781609193,1946.48,2130.48,1839.96,41.7,0.6192199017895679
EIEL,Bullish,0.7689940008711551,0.5098522167487686,219.19,239.91,207.2,5.73,0.6182257189269582
ARKADE,Bullish,0.7360875112552447,0.5989326765188834,166.64,182.39,157.52,3.92,0.6179992520604378
MASTERTR,Bullish,0.7604173171171986,0.5295566502463055,119.08,130.34,112.57,6.77,0.6173240091670658
SAGILITY,Bullish,0.7570610104733626,0.5348932676518884,50.39,55.15,47.63,1.86,0.6162153413655925
HPIL,Bullish,0.7308132614310305,0.6071428571428571,140.7,154.0,133.0,6.27,0.6159711774918686
BFUTILITIE,Bullish,0.7450865827217041,0.5648604269293923,641.19,701.8,606.1,22.51,0.61539991971924
PITTIENG,Bullish,0.7676011645241613,0.5004105090311987,888.92,972.95,840.28,25.42,0.6142069745034873
JIOFIN,Bullish,0.7793017449307489,0.47003284072249585,308.69,337.86,291.79,5.17,0.6141000121383685
HDFCMID150,Bullish,0.7521091311527135,0.5406403940886699,22.77,24.93,21.53,0.34,0.6139137095172642
BRNL,Bullish,0.7583296898937004,0.5238095238095238,24.81,27.16,23.46,1.3,0.6138859394377575
GUFICBIO,Bullish,0.7606308863629274,0.5168308702791462,364.61,399.08,344.66,13.92,0.6136255410018165
DUCON,Bullish,0.7555470301345478,0.5279146141215106,4.28,4.69,4.05,0.25,0.612873945626382
HESTERBIO,Bullish,0.7910244184977635,0.43678160919540227,1655.74,1812.25,1565.12,46.21,0.6128166184683822
TNTELE,Bullish,0.7292390549914108,0.5989326765188835,10.55,11.55,9.98,0.7,0.6122494726060893
A2ZINFRA,Bullish,0.7409997360907312,0.5644499178981938,15.75,17.24,14.89,0.91,0.6119027377340374
HDFCNIFBAN,Bullish,0.7663503886676308,0.4946633825944171,61.68,67.51,58.3,0.61,0.6114444234049291
WALCHANNAG,Bullish,0.7425447693664371,0.5582922824302134,180.21,197.24,170.34,8.63,0.6113496672583442
MAHASTEEL,Bullish,0.7639817520204263,0.5,726.67,795.35,686.9,21.31,0.611185401616341
KRISHIVAL,Bullish,0.7834088300685305,0.4466338259441707,483.51,529.21,457.05,16.23,0.6100040512619
IMPEXFERRO,Bullish,0.7220231055605748,0.6120689655172413,1.88,2.06,1.78,0.1,0.6099850374563477
HDFCBSE500,Bullish,0.7277424204001914,0.5952380952380952,38.63,42.28,36.52,0.52,0.6099174570973033
LASA,Bullish,0.7508664256146043,0.5303776683087028,9.65,10.56,9.12,0.61,0.609816968980268
ABSLNN50ET,Bullish,0.7396867034778569,0.5595238095238095,72.76,79.64,68.78,1.22,0.6093609509603297
UTISENSETF,Bullish,0.7662423492924497,0.4880952380952381,951.23,1041.15,899.18,12.31,0.6093451063420909
LINC,Bullish,0.724962509273212,0.6005747126436781,120.98,132.42,114.36,4.57,0.6091351658376069
CREST,Bullish,0.7290858115398533,0.5882594417077175,410.09,448.85,387.65,19.61,0.6090081319052929
ASALCBR,Bullish,0.7636295281075205,0.4930213464696223,979.77,1072.39,926.16,39.86,0.6087719801251251
UYFINCORP,Bullish,0.7538311645359622,0.5180623973727422,14.86,16.27,14.05,0.78,0.608511330847092
RKFORGE,Bullish,0.7219721704364177,0.6038587848932676,549.13,601.04,519.08,16.65,0.6075709972884468
CANTABIL,Bullish,0.7573498891063168,0.5053366174055829,253.41,277.36,239.54,6.48,0.6074965859251819
BIOFILCHEM,Bullish,0.7626898497446394,0.48891625615763545,37.85,41.43,35.78,1.64,0.606770496225415
NIFTYBEES,Bullish,0.7321163503210089,0.5714285714285714,298.31,326.51,281.99,2.99,0.6066106902659787
COMPUSOFT,Bullish,0.7467706334418768,0.5303776683087027,17.17,18.79,16.23,0.73,0.6064905669956523
SHANTIGOLD,Bullish,0.7201076224650109,0.6041666666666666,215.13,235.47,203.36,7.82,0.6060905822413842
SRF,Bullish,0.7684984570748532,0.4700328407224959,2879.02,3151.17,2721.46,56.31,0.6055868793928113
HDFCNEXT50,Bullish,0.7566145019231637,0.5,70.78,77.47,66.91,0.9,0.605291601538531
PALREDTEC,Bullish,0.7592471445159776,0.4930213464696223,44.27,48.45,41.85,2.89,0.6052783065065799
JAMNAAUTO,Bullish,0.7694856122682241,0.46387520525451564,118.54,129.74,112.05,3.65,0.604469485893462
RITCO,Bullish,0.740216369617221,0.5414614121510674,282.2,308.88,266.76,11.34,0.6044492620864435
MAGADSUGAR,Bullish,0.7443434131728198,0.5295566502463055,505.41,553.19,477.75,14.75,0.604274849708772
FMNL,Bullish,0.7292228032079079,0.5706075533661741,10.2,11.16,9.64,0.74,0.6039736977636597
GSTL,Bullish,0.7545448429883572,0.5,9.15,10.01,8.65,0.46,0.6036358743906858
CARTRADE,Bullish,0.7724081616975034,0.4532019704433498,3162.63,3461.59,2989.55,131.58,0.6034676573656357
SRD,Bullish,0.7520949548387132,0.5045155993431855,67.33,73.7,63.65,2.9,0.6030344276646037
MTARTECH,Bullish,0.7851569890767589,0.41995073891625617,2537.62,2777.5,2398.75,104.12,0.6029850965372745
RPGLIFE,Bullish,0.7162782378088441,0.5997536945812808,2259.24,2472.8,2135.6,57.94,0.6016031504749159
PRINCEPIPE,Bullish,0.7449875240521575,0.5172413793103449,282.4,309.1,266.95,8.28,0.6011278642351892
BDL,Bullish,0.7254869034432125,0.5701970443349754,1512.32,1655.28,1429.56,39.85,0.6007603372847489
APCOTEXIND,Bullish,0.7340016598609882,0.5451559934318555,413.0,452.05,390.4,11.61,0.6004591575414521
NRAIL,Bullish,0.75256470121702,0.493431855500821,482.4,528.0,456.0,23.98,0.600074579492586
RPEL,Bullish,0.7603191836492406,0.47167487684729065,1026.05,1123.05,969.9,42.42,0.5996408931144995
SANDESH,Bullish,0.7291281221041557,0.5529556650246304,1120.57,1226.5,1059.25,35.55,0.5987470835209988
CUBEXTUB,Bullish,0.7677553488027415,0.4482758620689655,93.76,102.62,88.63,4.69,0.5983196856186882
NIF100IETF,Bullish,0.7587092535435668,0.47044334975369456,29.94,32.77,28.3,0.52,0.5979974412166043
QNIFTY,Bullish,0.7383715368855175,0.5238095238095238,2890.38,3163.6,2732.2,27.89,0.5977293393835141
BBTC,Bullish,0.7295166746334036,0.5476190476190476,1848.8,2023.56,1747.62,54.56,0.5975088954140259
POCL,Bullish,0.7119955834061392,0.5927750410509031,1311.32,1435.28,1239.56,56.68,0.5960186345163379
MOM50,Bullish,0.7168753595060963,0.5775862068965517,273.94,299.84,258.95,2.72,0.595748143589549
APCL,Bullish,0.7381131455213259,0.5172413793103448,124.63,136.41,117.81,5.4,0.5955809519034146
AARTISURF,Bullish,0.7011351706409887,0.6231527093596059,434.16,475.2,410.4,16.57,0.5954468148694899
AEROENTER,Bullish,0.7653534131413788,0.4444444444444444,88.14,96.47,83.31,3.27,0.5952748768877391
AHLEAST,Bullish,0.7510671701536273,0.4811165845648604,140.35,153.61,132.67,4.48,0.5951806507654196
TIPSMUSIC,Bullish,0.7229928759367057,0.5574712643678161,556.67,609.29,526.21,17.08,0.595014826632967
PGHH,Bullish,0.7308978310735541,0.534072249589491,12904.2,14124.0,12198.0,201.2,0.5946795981887455
NEXT50,Bullish,0.7582607131494666,0.458128078817734,713.25,780.67,674.22,6.87,0.593908637392932
SIL,Bullish,0.7619446366429856,0.4482758620689655,17.03,18.65,16.1,0.81,0.593791337521775
EICHERMOT,Bullish,0.7374030455550713,0.5119047619047619,7054.6,7721.45,6668.52,133.67,0.5934338795181289
TCI,Bullish,0.7249249393017128,0.5451559934318555,1104.49,1208.9,1044.05,26.86,0.5930338337604488
ADVANIHOTR,Bullish,0.7214049600481922,0.5525451559934318,55.27,60.5,52.25,1.58,0.5922865025026208
HPAL,Bullish,0.7194034203152799,0.5574712643678161,46.2,50.57,43.67,1.61,0.5920607459146442
GREENPLY,Bullish,0.7421246369641701,0.4930213464696223,284.62,311.52,269.04,8.6,0.5916280972842439
MANUGRAPH,Bullish,0.7592617975738678,0.44745484400656815,16.57,18.14,15.67,0.86,0.5914512262217453
TPLPLASTEH,Bullish,0.745460130401676,0.48316912972085385,68.77,75.27,65.01,2.8,0.5913494072201144
PSUBANKADD,Bullish,0.7492072578864488,0.47126436781609193,86.43,94.6,81.7,1.64,0.5907542286323033
GOACARBON,Bullish,0.7246753346333777,0.5357142857142857,407.78,446.33,385.46,9.41,0.5900927724871791
ABDL,Bullish,0.7292169002920965,0.5229885057471265,665.16,728.03,628.76,22.65,0.5900789629949839
SPLIL,Bullish,0.7142439671779173,0.5652709359605912,38.9,42.58,36.77,2.08,0.5900429226390972
MOHEALTH,Bullish,0.716215957011628,0.5595238095238095,45.57,49.87,43.07,0.78,0.5900255264905316
NEXT50IETF,Bullish,0.7343884267331677,0.5057471264367815,73.08,79.99,69.08,1.14,0.589198990643392
INDHOTEL,Bullish,0.7483173727664685,0.46551724137931033,738.78,808.61,698.34,13.27,0.5883322792784649
ENRIN,Bullish,0.7378594730927905,0.49333333333333335,3188.26,3489.64,3013.78,109.23,0.5883199532126516
JSWHL,Bullish,0.7667393192904599,0.41748768472906406,20229.64,22141.9,19122.55,753.09,0.5880852808548009
NEXT30ADD,Bullish,0.7361488310410944,0.4946633825944171,40.68,44.53,38.46,0.37,0.5873476469669422
AKUMS,Bullish,0.7047058365851148,0.5833333333333334,430.34,471.02,406.79,14.0,0.587254863820929
SCHNEIDER,Bullish,0.7291760916104422,0.5114942528735632,725.11,793.65,685.42,26.37,0.5866934070428845
BANKETF,Bullish,0.7577157410062281,0.43390804597701144,610.44,668.14,577.03,4.53,0.5861410272381511
QPOWER,Bullish,0.7356723674825174,0.4889162561576355,755.06,826.43,713.73,41.31,0.585276292356781
