Issuer Name,Security Id,Security Name,Status,Group,Face Value,ISIN No,Industry,Instrument,Sector Name,Industry New Name,Igroup Name,ISubgroup Name
Alchemie Organics Ltd.,ALCORDM,Alchemie Organics Ltd,Delisted,B ,10,INE768A01014, ,Equity,-,-,-,-
AksharChem (India) Ltd.,AKSHARCHEM,AksharChem India Ltd-$,Active,B ,10,INE542B01011,Dyes And Pigments,Equity,Commodities,Chemicals,Chemicals & Petrochemicals,Dyes And Pigments
FCL Technologies & Products Ltd.,FCLTECH,FCL Technologies & Products Ltd,Delisted,B ,10,INE145B01013, ,Equity,-,-,-,-
BANDARAM PHARMA PACKTECH LIMITED,BANDARAM,Bandaram Pharma Packtech Ltd,Active,X ,10,INE875N01036,Healthcare Service Provider,Equity,Healthcare,Healthcare,Healthcare Services,Healthcare Service Provider
ADLINE CHEM LAB LIMITED,ADLINE,Adline Chem Lab Ltd,Suspended,P ,10,INE276T01018,Pharmaceuticals,Equity,Healthcare,Healthcare,Pharmaceuticals & Biotechnology,Pharmaceuticals
Beryl Drugs Ltd.,BERLDRG,Beryl Drugs Ltd,Active,X ,10,INE415H01017,Pharmaceuticals,Equity,Healthcare,Healthcare,Pharmaceuticals & Biotechnology,Pharmaceuticals
Rathi Graphics Technologies ltd.,RATHIGRA,Rathi Graphic Technologies Ltd,Suspended,Z ,10,INE886C01010,Specialty Chemicals,Equity,Commodities,Chemicals,Chemicals & Petrochemicals,Specialty Chemicals
Stellar Drugs Ltd.,STELADG,Stellar Drugs Ltd,Delisted,Z ,10,NA          , ,Equity,-,-,-,-
IEL LIMITED,INDXTRA,IEL Ltd,Active,X ,1,INE056E01024,Other Food Products,Equity,Fast Moving Consumer Goods,Fast Moving Consumer Goods,Food Products,Other Food Products
Pasumai Irrigation Ltd.,PASUMIR,Pasumai Irrigations Ltd,Delisted,Z ,10,NA          , ,Equity,-,-,-,-
iStreet Network Limited,ISTRNETWK,iStreet Network Ltd,Active,XT,4,INE532B01020,Internet & Catalogue Retail,Equity,Consumer Discretionary,Consumer Services,Retailing,Internet & Catalogue Retail
Gagan Gases Ltd.,GAGAN,Gagan Gases Ltd,Active,XT,10,INE076D01016,Industrial Gases,Equity,Commodities,Chemicals,Chemicals & Petrochemicals,Industrial Gases
Sriman Petrochemicals ltd.,SRIMANP,Sriman Petrochemicals Ltd,Delisted,Z ,10,NA          , ,Equity,-,-,-,-
