Issuer Name,Security Id,Security Name,Status,Group,Face Value,ISIN No,Industry,Instrument,Sector Name,Industry New Name,Igroup Name,ISubgroup Name
ABB India Limited,ABB,ABB India Ltd,Active,A ,2,INE117A01022,Heavy Electrical Equipment,Equity,Industrials,Capital Goods,Electrical Equipment,Heavy Electrical Equipment
Aegis Logistics Ltd.,AEGISLOG,Aegis Logistics Ltd,Active,A ,1,INE208C01025,Trading - Gas,Equity,Energy,"Oil, Gas & Consumable Fuels",Gas,Trading - Gas
Torrent Power AEC Limited,TPAEC,Torrent Power AEC Ltd,Delisted,B ,10,INE424A01014, ,Equity,-,-,-,-
Akar Laminators Ltd.,AKARLAMIN,Akar Laminators Ltd,Delisted,XD,10,INE984C01013, ,Equity,-,-,-,-
Alpha Drugs India Ltd,ALPHADR,Alpha Drug India Ltd,Delisted,B ,10,INE256B01026, ,Equity,-,-,-,-
Amara Raja Energy & Mobility Limited,ARE&M,Amara Raja Energy & Mobility Ltd,Active,A ,1,INE885A01032,Auto Components & Equipments,Equity,Consumer Discretionary,Automobile and Auto Components,Auto Components,Auto Components & Equipments
Ambalal Sarabhai Enterprise Ltd.,AMBALALSA,Ambalal Sarabhai Enterprises Ltd,Active,X ,10,INE432A01017,Pharmaceuticals,Equity,Healthcare,Healthcare,Pharmaceuticals & Biotechnology,Pharmaceuticals
Housing Development Finance Corp.Lt,HDFC,Housing Development Finance Corporation Ltd,Delisted,A ,2,INE001A01036,Housing Finance Company,Equity,Financial Services,Financial Services,Finance,Housing Finance Company
Amrut Industries Ltd,AMRTMIL-BDM,Amrut Industries Ltd,Delisted,Z ,10,NA          , ,Equity,-,-,-,-
Andhra Petrochemicals Ltd.,ANDHRAPET,Andhra Petrochemicals Ltd,Active,X ,10,INE714B01016,Commodity Chemicals,Equity,Commodities,Chemicals,Chemicals & Petrochemicals,Commodity Chemicals
Ansal Properties & Infrastructure Ltd.,ANSALAPI,Ansal Properties & Infrastructure Ltd,Active,Z ,5,INE436A01026,Residential- Commercial Projects,Equity,Consumer Discretionary,Realty,Realty,"Residential, Commercial Projects"
UTIQUE ENTERPRISES LIMITED,UTIQUE,Utique Enterprises Ltd,Active,X ,10,INE096A01010,Precious Metals,Equity,Commodities,Metals & Mining,Non - Ferrous Metals,Precious Metals
ICICI Ltd.,ICICIDM,ICICI Ltd,Delisted,B ,10,INE005A01011, ,Equity,-,-,-,-
Aruna Hotels Ltd.,ARUNAHTEL,Aruna Hotels Ltd,Active,X ,10,INE957C01019,Hotels & Resorts,Equity,Consumer Discretionary,Consumer Services,Leisure Services,Hotels & Resorts
Arvind Polycot Limited,ARPOLDM,ARPOLDM,Delisted,B ,10,INE035A01018, ,Equity,-,-,-,-
Bank Of Rajasthan Ltd.,BOR,Bank of Rajasthan Ltd,Delisted,B ,10,INE320A01014, ,Equity,-,-,-,-
Bombay Dyeing & Mfg. Co. Ltd.,BOMDYEING,Bombay Dyeing & Manufacturing Company Ltd,Active,A ,2,INE032A01023,Other Textile Products,Equity,Consumer Discretionary,Textiles,Textiles & Apparels,Other Textile Products
Asian Coffee Ltd,ASINCOF,ASINCOF,Delisted,Z ,10,NA          , ,Equity,-,-,-,-
Asian Hotels (North) Limited,ASIANHOTNR,Asian Hotels (North) Ltd,Active,B ,10,INE363A01022,Hotels & Resorts,Equity,Consumer Discretionary,Consumer Services,Leisure Services,Hotels & Resorts
Assam Company (India) Limited,ASSAMCO,Assam Company India Ltd,Delisted,T ,1,INE442A01024, ,Equity,-,-,-,-
Assambrook Limited,ASSAMBR,Assambrook Ltd-$,Delisted,X ,10,INE353C01011, ,Equity,-,-,-,-
Atash Industries Ltd,ATSHIND,Atash Industries Ltd,Delisted,Z ,10,NA          , ,Equity,-,-,-,-
Atul Limited.,ATUL,Atul Ltd,Active,A ,10,INE100A01010,Specialty Chemicals,Equity,Commodities,Chemicals,Chemicals & Petrochemicals,Specialty Chemicals
ATV Projects India Ltd,ATVPR,ATV Projects India Ltd,Active,X ,10,INE447A01015,Industrial Products,Equity,Industrials,Capital Goods,Industrial Manufacturing,Industrial Products
Autolite (India) Ltd.,AUTOLITIND,Autolite (India) Ltd,Delisted,Z ,10,INE448A01013,Auto Components & Equipments,Equity,Consumer Discretionary,Automobile and Auto Components,Auto Components,Auto Components & Equipments
Autoriders Finance Ltd.,AUTORIDFIN,Autoriders Finance Ltd,Delisted,Z ,10,INE450A01019, ,Equity,-,-,-,-
Bajaj Electricals Ltd.,BAJAJELEC,Bajaj Electricals Ltd-$,Active,A ,2,INE193E01025,Household Appliances,Equity,Consumer Discretionary,Consumer Durables,Consumer Durables,Household Appliances
Bajaj Hindusthan Sugar Limited,BAJAJHIND,Bajaj Hindusthan Sugar Ltd,Active,A ,1,INE306A01021,Sugar,Equity,Fast Moving Consumer Goods,Fast Moving Consumer Goods,Agricultural Food & other Products,Sugar
Force Motors Limited,FORCEMOT,Force Motors Ltd-$,Active,A ,10,INE451A01017,Passenger Cars & Utility Vehicles,Equity,Consumer Discretionary,Automobile and Auto Components,Automobiles,Passenger Cars & Utility Vehicles
Bajaj Finance Limited,BAJFINANCE,Bajaj Finance Ltd,Active,A ,1,INE296A01032,Non Banking Financial Company (NBFC),Equity,Financial Services,Financial Services,Finance,Non Banking Financial Company (NBFC)
Balaji Distilleries Ltd.,BALAJIDI,Balaji Distilleries Ltd,Delisted,T ,10,INE453A01013, ,Equity,-,-,-,-
Balaji Industrial Corporation Ltd.,BALAJIIND,Balaji Industrial Corporation Ltd,Delisted,X ,10,INE455A01018, ,Equity,-,-,-,-
Balmer Lawrie Freight Containers Lt,BALMERL-B,Balmer Lawrie Freight Containers Ltd,Delisted,P ,10,-, ,Equity,-,-,-,-
Balrampur Chini Mills Ltd.,BALRAMCHIN,Balrampur Chini Mills Ltd,Active,A ,1,INE119A01028,Sugar,Equity,Fast Moving Consumer Goods,Fast Moving Consumer Goods,Agricultural Food & other Products,Sugar
Banco Products (India) Ltd.,BANCOINDIA,Banco Products (India) Ltd-$,Active,A ,2,INE213C01025,Auto Components & Equipments,Equity,Consumer Discretionary,Automobile and Auto Components,Auto Components,Auto Components & Equipments
ADITYA BIRLA REAL ESTATE LIMITED,ABREL,Aditya Birla Real Estate Ltd,Active,A ,10,INE055A01016,Paper & Paper Products,Equity,Commodities,Forest Materials,"Paper, Forest & Jute Products",Paper & Paper Products
Bannari Amman Sugars Ltd.,BANARISUG,Bannari Amman Sugars Ltd,Active,B ,10,INE459A01010,Sugar,Equity,Fast Moving Consumer Goods,Fast Moving Consumer Goods,Agricultural Food & other Products,Sugar
BASF India Ltd,BASF,BASF India Ltd,Active,A ,10,INE373A01013,Specialty Chemicals,Equity,Commodities,Chemicals,Chemicals & Petrochemicals,Specialty Chemicals
Bata India Limited,BATAINDIA,Bata India Ltd,Active,A ,5,INE176A01028,Footwear,Equity,Consumer Discretionary,Consumer Durables,Consumer Durables,Footwear
Rayban Sun Optics India Ltd.,RAYBAN,Rayban Sun Optics India Ltd,Delisted,B ,10,INE854A01012, ,Equity,-,-,-,-
Bellary Steel & Alloys Ltd,BELLARYS,Bellary Steels & Alloys Ltd,Delisted,XT,1,INE166C01025, ,Equity,-,-,-,-
Best & Crompton Engineering Ltd.,BECREL,Best & Crompton Engineering Ltd,Delisted,Z ,10,INE287A01015, ,Equity,-,-,-,-
Beta Napthol Limited,BETANAP,Beta Napthol Ltd,Delisted,Z ,10,NA          , ,Equity,-,-,-,-
BEML Ltd,BEML,BEML Ltd,Active,A ,10,INE258A01016,Construction Vehicles,Equity,Industrials,Capital Goods,"Agricultural, Commercial & Construction Vehicles",Construction Vehicles
Bharat Electronics Ltd.,BEL,Bharat Electronics Ltd,Active,A ,1,INE263A01024,Aerospace & Defense,Equity,Industrials,Capital Goods,Aerospace & Defense,Aerospace & Defense
"Bharat Rasayan Ltd.,",BHARATRA,Bharat Rasayan Ltd,Delisted,T ,10,INE838B01013, ,Equity,-,-,-,-
Bhagawati Gas Limited,BHAGGAS,Bhagawati Gas Ltd,Suspended,Z ,10,INE099C01010, ,Equity,-,-,-,-
Bhansali Engineering Polymers Ltd.,BEPL,Bhansali Engineering Polymers Ltd-$,Active,B ,1,INE922A01025,Specialty Chemicals,Equity,Commodities,Chemicals,Chemicals & Petrochemicals,Specialty Chemicals
Bharat Zinc Limited,BHAZINC,Bharat Zinc Ltd,Delisted,Z ,10,NA          , ,Equity,-,-,-,-
Bharti Telecom Ltd.(Delisted for Takeover-21(3a)),BHRTITE-B,BHRTITE-B,Delisted,Z ,10,NA          , ,Equity,-,-,-,-
TATA STEEL BSL LIMITED,TATASTLBSL,Tata Steel Bsl Ltd,Delisted,T ,2,INE824B01021,Iron & Steel,Equity,Commodities,Metals & Mining,Ferrous Metals,Iron & Steel
Mastergrowth - 93 (Scheme Of UTI),UTIMRDM,UTI Master Growth 93,Delisted,B ,10,INF189A01046, ,Equity,-,-,-,-
Aditya Birla Chemicals (India) Limited,ABCIL,Aditya Birla Chemicals (India) Ltd,Delisted,B ,10,INE605B01016, ,Equity,-,-,-,-
Bihar Sponge Iron Ltd,BIHSPONG,Bihar Sponge Iron Ltd,Active,XT,10,INE819C01011,Sponge Iron,Equity,Commodities,Metals & Mining,Ferrous Metals,Sponge Iron
BIL VYAPAR LIMITED,BILVYAPAR,Bil Vyapar Ltd,Active,B ,10,INE071A01013,Holding Company,Equity,Financial Services,Financial Services,Finance,Holding Company
Birla Cable Limited,BIRLACABLE,Birla Cable Ltd,Active,T ,10,INE800A01015,Telecom -  Equipment & Accessories,Equity,Telecommunication,Telecommunication,Telecom -  Equipment & Accessories,Telecom -  Equipment & Accessories
Andhra Valley Power Supply Company,ANVALDM,Andhra Valley Power Supply Co Ltd,Delisted,B ,10,INE247A01019, ,Equity,-,-,-,-
Ashok Leyland Finance Ltd.,ASHOKLEYFIN,Ashok Leyland Finance Ltd,Delisted,B ,10,INE251A01011, ,Equity,-,-,-,-
Oswal Chemicals & Fertilizers Ltd,OSWALCHEM,Oswal Chemicals & Fertilizers Ltd,Delisted,B ,10,INE143A01010, ,Equity,-,-,-,-
Birla Global Finance Ltd.,BGFL,Birla Global Finance Ltd,Delisted,B ,10,INE097A01018, ,Equity,-,-,-,-
Blue Star Ltd,BLUESTARCO,Blue Star Ltd,Active,A ,2,INE472A01039,Household Appliances,Equity,Consumer Discretionary,Consumer Durables,Consumer Durables,Household Appliances
Disa India Ltd.,DISAQ,Disa India Ltd,Active,B ,10,INE131C01011,Industrial Products,Equity,Industrials,Capital Goods,Industrial Manufacturing,Industrial Products
QUEST CAPITAL MARKETS LIMITED,QUESTCAP,Quest Capital Markets Ltd,Active,X ,10,INE418C01012,Other Capital Market related Services,Equity,Financial Services,Financial Services,Capital Markets,Other Capital Market related Services
Bank Of Punjab Ltd.,BOP,Bank of Punjab Ltd,Delisted,B ,10,INE458A01012, ,Equity,-,-,-,-
Bongaingaon Refinery & Petrochemica,BONGAIREFN,Bongaigaon Refinery & Petrochemicals Ltd,Delisted,B ,10,INE241A01012, ,Equity,-,-,-,-
BPL Engineering Ltd.,BPLENG,BPL Engineering Ltd,Delisted,B ,10,INE108A01013, ,Equity,-,-,-,-
BPL Ltd.,BPL,BPL Ltd,Active,B ,10,INE110A01019,Consumer Electronics,Equity,Consumer Discretionary,Consumer Durables,Consumer Durables,Consumer Electronics
Nagarjuna Fertiliser & Chem. Ltd.,NAGARFER,Nagarjuna Fertilizers and Chemicals Ltd,Delisted,B ,10,INE580A01013, ,Equity,-,-,-,-
"Burroughs Wellcome (India) Ltd.,",BURROWEL,Burroughs Wellcome (India) Ltd,Delisted,B ,10,INE157A01010, ,Equity,-,-,-,-
Cable Corporation of India Ltd.,CCI,Cable Corporation of India Ltd,Delisted,B ,10,INE475A01016, ,Equity,-,-,-,-
ORIENTAL AROMATICS LIMITED,OAL,Oriental Aromatics Ltd-$,Active,B ,5,INE959C01023,Specialty Chemicals,Equity,Commodities,Chemicals,Chemicals & Petrochemicals,Specialty Chemicals
Carrier Aircon Ltd,CARIR,Carrier Aircon Ltd,Delisted,B ,10,INE480A01016, ,Equity,-,-,-,-
Cauvery Software Engg. Systems Ltd.,CAUVERSOFT,Cauvery Software Engineering Systems Ltd,Delisted,B ,10,INE466B01013, ,Equity,-,-,-,-
Celeste International Ltd.,CELEINT,Celeste International Ltd,Delisted,Z ,10,NA          , ,Equity,-,-,-,-
Centak Chemicals Ltd.,CENCHDM,Centak Chemicals Ltd,Delisted,B ,10,INE942A01015, ,Equity,-,-,-,-
Century Extrusions Ltd.,CENTEXT,Century Extrusions Ltd,Active,B ,1,INE281A01026,Aluminium- Copper & Zinc Products,Equity,Industrials,Capital Goods,Industrial Products,"Aluminium, Copper & Zinc Products"
CESC Limited,CESC,CESC Ltd,Active,A ,1,INE486A01021,Integrated Power Utilities,Equity,Utilities,Power,Power,Integrated Power Utilities
Chambal Fertilisers & Chemicals Ltd,CHAMBLFERT,Chambal Fertilisers & Chemicals Ltd,Active,A ,10,INE085A01013,Fertilizers,Equity,Commodities,Chemicals,Fertilizers & Agrochemicals,Fertilizers
Exide Industries Ltd.,EXIDEIND,Exide Industries Ltd,Active,A ,1,INE302A01020,Auto Components & Equipments,Equity,Consumer Discretionary,Automobile and Auto Components,Auto Components,Auto Components & Equipments
Cipla Ltd.,CIPLA,Cipla Ltd,Active,A ,2,INE059A01026,Pharmaceuticals,Equity,Healthcare,Healthcare,Pharmaceuticals & Biotechnology,Pharmaceuticals
DIC India Ltd,DICIND,DIC India Ltd,Active,B ,10,INE303A01010,Printing Inks,Equity,Commodities,Chemicals,Chemicals & Petrochemicals,Printing Inks
Madura Coats Ltd,MADUCOA,Madura Coats Ltd,Delisted,B ,10,INE122A01014, ,Equity,-,-,-,-
Core Healthcare ltd.,COREPARENT,Core Healthcare Ltd,Delisted,B ,10,INE494A01017, ,Equity,-,-,-,-
CRISIL Ltd.,CRISIL,CRISIL Ltd,Active,A ,1,INE007A01025,Other Financial Services,Equity,Financial Services,Financial Services,Finance,Other Financial Services
CG Power and Industrial Solutions Limited,CGPOWER,CG Power and Industrial Solutions Ltd,Active,A ,2,INE067A01029,Heavy Electrical Equipment,Equity,Industrials,Capital Goods,Electrical Equipment,Heavy Electrical Equipment
C.T. Cotton Yarn Ltd.,CTCOTTON,CT Cotton Yarn Ltd,Delisted,XD,10,INE107D01019, ,Equity,-,-,-,-
Wyeth Ltd.,WYETH,Wyeth Ltd,Delisted,B ,10,INE378A01012, ,Equity,-,-,-,-
Dabur India Ltd.,DABUR,Dabur India Ltd,Active,A ,1,INE016A01026,Personal Care,Equity,Fast Moving Consumer Goods,Fast Moving Consumer Goods,Personal Products,Personal Care
Dalmia Bharat Sugar and Industries Ltd,DALMIASUG,Dalmia Bharat Sugar and Industries Ltd,Active,B ,2,INE495A01022,Sugar,Equity,Fast Moving Consumer Goods,Fast Moving Consumer Goods,Agricultural Food & other Products,Sugar
Skyline NEPC Ltd,SKYLNEPC,Skyline NEPC Ltd,Delisted,B ,10,INE575B01011, ,Equity,-,-,-,-
Central India Polyesters Ltd.,CENTINPO,Central India Polyesters Ltd,Delisted,B ,10,INE496A01020, ,Equity,-,-,-,-
Daewoo Motors India Ltd.,DAEWOO,Daewoo Motors India Ltd,Delisted,XD,10,INE497A01010, ,Equity,-,-,-,-
Arvind Ltd.,ARVIND,Arvind Ltd,Active,A ,10,INE034A01011,Garments & Apparels,Equity,Consumer Discretionary,Textiles,Textiles & Apparels,Garments & Apparels
Ballarpur Industries Ltd.,BALLARPUR,Ballarpur Industries Ltd,Suspended,Z ,2,INE294A01037,Paper & Paper Products,Equity,Commodities,Forest Materials,"Paper, Forest & Jute Products",Paper & Paper Products
Bharat Heavy Electricals Ltd.,BHEL,Bharat Heavy Electricals Ltd,Active,A ,2,INE257A01026,Heavy Electrical Equipment,Equity,Industrials,Capital Goods,Electrical Equipment,Heavy Electrical Equipment
Hindustan Petroleum Corporation Ltd,HINDPETRO,Hindustan Petroleum Corporation Ltd,Active,A ,10,INE094A01015,Refineries & Marketing,Equity,Energy,"Oil, Gas & Consumable Fuels",Petroleum Products,Refineries & Marketing
Indian Petrochemicals Corpn. Ltd.,IPCL,Indian Petrochemicals Corporation Ltd,Delisted,B ,10,INE006A01019, ,Equity,-,-,-,-
IFCI Ltd.,IFCI,IFCI Ltd,Active,A ,10,INE039A01010,Financial Institution,Equity,Financial Services,Financial Services,Finance,Financial Institution
Jindal Iron & Steel Co Ltd.,JINDALIRON,Jindal Iron & Steel Company Ltd,Delisted,B ,10,INE020A01010, ,Equity,-,-,-,-
Mahanagar Telephone Nigam Ltd.,MTNL,Mahanagar Telephone Nigam Ltd,Active,B ,10,INE153A01019,Telecom - Cellular & Fixed line services,Equity,Telecommunication,Telecommunication,Telecom - Services,Telecom - Cellular & Fixed line services
Mangalore Refinery & Petrochemicals,MRPL,Mangalore Refinery and Petrochemicals Ltd,Active,A ,10,INE103A01014,Refineries & Marketing,Equity,Energy,"Oil, Gas & Consumable Fuels",Petroleum Products,Refineries & Marketing
Chennai Petroleum Corporation Ltd.,CHENNPETRO,Chennai Petroleum Corporation Ltd,Active,A ,10,INE178A01016,Refineries & Marketing,Equity,Energy,"Oil, Gas & Consumable Fuels",Petroleum Products,Refineries & Marketing
Reliance Capital Limited,RELCAPITAL,Reliance Capital Ltd,Delisted,T ,10,INE013A01015,Investment Company,Equity,Financial Services,Financial Services,Finance,Investment Company
State Bank Of India,SBIN,State Bank of India,Active,A ,1,INE062A01020,Public Sector Bank,Equity,Financial Services,Financial Services,Banks,Public Sector Bank
Steel Authority of India Ltd.,SAIL,Steel Authority of India Ltd,Active,A ,10,INE114A01011,Iron & Steel,Equity,Commodities,Metals & Mining,Ferrous Metals,Iron & Steel
Titan Company Limited,TITAN,Titan Company Ltd,Active,A ,1,INE280A01028,Gems- Jewellery And Watches,Equity,Consumer Discretionary,Consumer Durables,Consumer Durables,"Gems, Jewellery And Watches"
Masterplus - 91 (Scheme of UTI)-OE.not.45507/00,MSTRP,MSTRP,Delisted,Z ,10,INF189A01061, ,Equity,-,-,-,-
IDBI Bank Ltd,IDBI,IDBI Bank Ltd,Active,A ,10,INE008A01015,Private Sector Bank,Equity,Financial Services,Financial Services,Banks,Private Sector Bank
DCW Ltd.,DCW,DCW Ltd,Active,A ,2,INE500A01029,Petrochemicals,Equity,Commodities,Chemicals,Chemicals & Petrochemicals,Petrochemicals
Dhampur Sugar Mills Ltd.,DHAMPURSUG,Dhampur Sugar Mills Ltd,Active,B ,10,INE041A01016,Sugar,Equity,Fast Moving Consumer Goods,Fast Moving Consumer Goods,Agricultural Food & other Products,Sugar
Diamines & Chemicals Ltd.,DIAMINESQ,Diamines & Chemicals Ltd-$,Active,B ,10,INE591D01014,Specialty Chemicals,Equity,Commodities,Chemicals,Chemicals & Petrochemicals,Specialty Chemicals
Digital Globalsoft Ltd.,DIGITAL,Digital GlobalSoft Ltd,Delisted,B ,10,INE124A01010, ,Equity,-,-,-,-
Ambuja Cement Rajasthan Ltd,AMBUJACEMR,Ambuja Cement Rajasthan Ltd,Delisted,Z ,10,INE125A01017, ,Equity,-,-,-,-
Elantas Beck India Ltd,ELANTAS,Elantas Beck India Ltd-$,Active,B ,10,INE280B01018,Specialty Chemicals,Equity,Commodities,Chemicals,Chemicals & Petrochemicals,Specialty Chemicals
Dr. Reddy's Laboratories Ltd.,DRREDDY,Dr Reddys Laboratories Ltd,Active,A ,1,INE089A01031,Pharmaceuticals,Equity,Healthcare,Healthcare,Pharmaceuticals & Biotechnology,Pharmaceuticals
E.I.D. Parry (India) Ltd.,EIDPARRY,EID Parry India Ltd,Active,A ,1,INE126A01031,Other Food Products,Equity,Fast Moving Consumer Goods,Fast Moving Consumer Goods,Food Products,Other Food Products
PROCTER & GAMBLE HEALTH LIMITED,PGHL,Procter & Gamble Health Ltd,Active,A ,10,INE199A01012,Pharmaceuticals,Equity,Healthcare,Healthcare,Pharmaceuticals & Biotechnology,Pharmaceuticals
Eastern Mining & Allied Ltd,ESTMNAL,Eastern Mining & Allied Industries Ltd,Delisted,P ,10,NA          , ,Equity,-,-,-,-
Electrosteel Castings Ltd.,ELECTCAST,Electrosteel Castings Ltd,Active,A ,1,INE086A01029,Iron & Steel Products,Equity,Industrials,Capital Goods,Industrial Products,Iron & Steel Products
"Elgi Auto Parts Ltd.,",ELAUPAR-BDM,Elgi Auto Parts Ltd,Delisted,Z ,10,NA          , ,Equity,-,-,-,-
Elgi Finance Ltd.,ELGIF,Elgi Finance Ltd,Delisted,T ,10,INE424D01018, ,Equity,-,-,-,-
Elgitread (India)  Ltd.,ELGITR,Elgitread (India) Ltd,Delisted,B ,1,INE257B01024, ,Equity,-,-,-,-
Empee Sugars & Chemicals Ltd.,EMPEESUG,Empee Sugars & Chemicals Ltd,Suspended,Z ,10,INE928B01012,Sugar,Equity,Fast Moving Consumer Goods,Fast Moving Consumer Goods,Agricultural Food & other Products,Sugar
Esab India Ltd.,ESABINDIA,Esab India Ltd,Active,A ,10,INE284A01012,Other Industrial Products,Equity,Industrials,Capital Goods,Industrial Products,Other Industrial Products
Essar Oil Ltd.,ESSAROIL,Essar Oil Ltd,Delisted,A ,10,INE011A01019, ,Equity,-,-,-,-
EPL LIMITED,EPL,EPL Ltd,Active,A ,2,INE255A01020,Packaging,Equity,Industrials,Capital Goods,Industrial Products,Packaging
Ester Industries Ltd.,ESTER,Ester Industries Ltd,Active,B ,5,INE778B01029,Packaging,Equity,Industrials,Capital Goods,Industrial Products,Packaging
Uniworth Textiles Ltd.,UNIWORTHT,Uniworth Textiles Ltd,Delisted,XT,10,INE486C01019,Other Textile Products,Equity,Consumer Discretionary,Textiles,Textiles & Apparels,Other Textile Products
Fedders Electric and Engineering Limited,FEDDERELEC,Fedders Electric and Engineering Ltd,Suspended,Z ,10,INE249C01011,Civil Construction,Equity,Industrials,Construction,Construction,Civil Construction
Femnor Mineral (India) Ltd.,FEMNORM-B,Femnor Mineral (India) Ltd,Delisted,Z ,10,NA          , ,Equity,-,-,-,-
Ferro Alloys Corporation Ltd.,FERROALL,Ferro Alloys Corporation Ltd,Delisted,X ,1,INE912A01026, ,Equity,-,-,-,-
FGP Ltd,FGP,FGP Ltd,Active,XT,10,INE512A01016,Non Banking Financial Company (NBFC),Equity,Financial Services,Financial Services,Finance,Non Banking Financial Company (NBFC)
P.H. Capital Ltd.,PHCAP,PH Capital Ltd,Active,X ,10,INE160F01013,Investment Company,Equity,Financial Services,Financial Services,Finance,Investment Company
Finolex Cables Ltd.,FINCABLES,Finolex Cables Ltd,Active,A ,2,INE235A01022,Cables - Electricals,Equity,Industrials,Capital Goods,Industrial Products,Cables - Electricals
First Leasing Co. of India Ltd.,FIRSTLEASE,First Leasing Company of India Ltd,Delisted,Z ,10,INE492B01019, ,Equity,-,-,-,-
JOHN COCKERILL INDIA LIMITED,COCKERILL,John Cockerill India Ltd-$,Active,B ,10,INE515A01019,Industrial Products,Equity,Industrials,Capital Goods,Industrial Manufacturing,Industrial Products
Uflex Limited,UFLEX,Uflex Ltd,Active,B ,10,INE516A01017,Packaging,Equity,Industrials,Capital Goods,Industrial Products,Packaging
Floatglass India Limited,FLOAI,Floatglass India Ltd,Delisted,B ,10,INE517A01015, ,Equity,-,-,-,-
Foseco India Ltd,FOSECOIND,Foseco India Ltd,Active,B ,10,INE519A01011,Specialty Chemicals,Equity,Commodities,Chemicals,Chemicals & Petrochemicals,Specialty Chemicals
Golden Tobacco Ltd.,GOLDENTOBC,Golden Tobacco Ltd,Active,Z ,10,INE973A01010,Residential- Commercial Projects,Equity,Consumer Discretionary,Realty,Realty,"Residential, Commercial Projects"
"G.R. Magnets, Ltd.",GRMAG,GR Magnets Ltd,Delisted,Z ,10,INE523A01013, ,Equity,-,-,-,-
Ganesh Benzoplast Ltd.,GANESHBE,Ganesh Benzoplast Ltd,Active,B ,1,INE388A01029,Oil Storage & Transportation,Equity,Energy,"Oil, Gas & Consumable Fuels",Oil,Oil Storage & Transportation
Futuristic Offshore Services and Chemical Ltd.,FOSCL,Futuristic Offshore Services & Chemical Ltd,Suspended,XT,10,INE418A01016,Commodity Chemicals,Equity,Commodities,Chemicals,Chemicals & Petrochemicals,Commodity Chemicals
Garden Silk Mills Ltd.,GARDENSILK,Garden Silk Mills Ltd,Delisted,B ,10,INE526A01016, ,Equity,-,-,-,-
German Remedies Ltd.,GRMNR,German Remedies Ltd,Delisted,B ,10,INE382A01014, ,Equity,-,-,-,-
GIC Balanced Fund,GICBALN-B,GICBALN-B,Delisted,Z ,10,NA          , ,Equity,-,-,-,-
GIC Big Value (QRT),GICBGVL-B,GICBGVL-B,Delisted,Z ,10,-, ,Equity,-,-,-,-
Metroglobal Limited,METROGLOBL,Metroglobal Ltd,Active,X ,10,INE085D01033,Trading & Distributors,Equity,Services,Services,Commercial Services & Supplies,Trading & Distributors
GTL Ltd,GTL,GTL Ltd,Active,B ,10,INE043A01012,Other Telecom Services,Equity,Telecommunication,Telecommunication,Telecom - Services,Other Telecom Services
Global Trust Bank Ltd.,GTB,Global Trust Bank Ltd,Delisted,T ,10,INE130A01017, ,Equity,-,-,-,-
Parrys  Sugar  Industries Limited,PARRYSUGAR,Parrys Sugar Industries Ltd,Delisted,B ,10,INE353B01021, ,Equity,-,-,-,-
Godfrey Phillips India Ltd.,GODFRYPHLP,Godfrey Phillips India Ltd,Active,A ,2,INE260B01028,Cigarettes & Tobacco Products,Equity,Fast Moving Consumer Goods,Fast Moving Consumer Goods,Cigarettes & Tobacco Products,Cigarettes & Tobacco Products
Godrej Industries Ltd.,GODREJIND,Godrej Industries Ltd,Active,A ,1,INE233A01035,Diversified,Equity,Diversified,Diversified,Diversified,Diversified
Kansai Nerolac Paints,KANSAINER,Kansai Nerolac Paints Ltd,Active,A ,1,INE531A01024,Paints,Equity,Consumer Discretionary,Consumer Durables,Consumer Durables,Paints
Goodricke Group Ltd.,GOODRICKE,Goodricke Group Ltd,Active,X ,10,INE300A01016,Tea & Coffee,Equity,Fast Moving Consumer Goods,Fast Moving Consumer Goods,Agricultural Food & other Products,Tea & Coffee
Good Value Marketing Co. Ltd.,GOVMC,Good Value Marketing Company Ltd,Delisted,Z ,10,INE532A01014, ,Equity,-,-,-,-
Goodyear India Ltd.,GOODYEAR,Goodyear India Ltd,Active,B ,10,INE533A01012,Tyres & Rubber Products,Equity,Consumer Discretionary,Automobile and Auto Components,Auto Components,Tyres & Rubber Products
"Grapco Mining & Co. Ltd.,",GRPCOMI,Grapco Mining & Company Ltd,Delisted,Z ,10,NA          , ,Equity,-,-,-,-
GTN Industries Limited,GTNINDS,GTN Industries Ltd,Active,X ,10,INE537A01013,Other Textile Products,Equity,Consumer Discretionary,Textiles,Textiles & Apparels,Other Textile Products
GHCL Ltd.,GHCL,GHCL Ltd,Active,A ,10,INE539A01019,Commodity Chemicals,Equity,Commodities,Chemicals,Chemicals & Petrochemicals,Commodity Chemicals
GFL LIMITED,GFLLIMITED,GFL Ltd,Active,B ,1,INE538A01037,Holding Company,Equity,Financial Services,Financial Services,Finance,Holding Company
Gujarat Lease Financing Limited,GLFL,Gujarat Lease Financing Ltd,Active,B ,10,INE540A01017,Other Financial Services,Equity,Financial Services,Financial Services,Finance,Other Financial Services
Gujarat Telephone Cables Ltd.,GTCL,Gujarat Telephone Cables Ltd,Delisted,B ,10,INE261B01018, ,Equity,-,-,-,-
HAMCO Mining & Smelting ltd.,HAMCMIN-B,HAMCO Mining & Smelting Ltd,Delisted,Z ,10,NA          , ,Equity,-,-,-,-
Hanil Era Textiles Ltd.,HANILERA,Hanil Era Textiles Ltd,Delisted,T ,10,INE021D01012, ,Equity,-,-,-,-
